SpeciesName,feedingmethod
"Corella parallelogramma","Passive suspension feeder"
"Corella parallelogramma","Active suspension feeder"
"Corophium crassicorne","Passive suspension feeder"
"Corophium crassicorne","Active suspension feeder"
"Corophium crassicorne","Surface deposit feeder"
"Corophium crassicorne","Sub-surface deposit feeder"
"Diastylis bradyi","Surface deposit feeder"
"Diastylis bradyi","Sub-surface deposit feeder"
"Diastylis laevis","Surface deposit feeder"
"Diastylis laevis","Sub-surface deposit feeder"
"Diastylis rathkei","Surface deposit feeder"
"Diastylis rathkei","Sub-surface deposit feeder"
"Donax vittatus","Passive suspension feeder"
"Donax vittatus","Active suspension feeder"
"Echiurus echiurus","Surface deposit feeder"
"Echiurus echiurus","Sub-surface deposit feeder"
"Escharella immersa","Passive suspension feeder"
"Escharella immersa","Active suspension feeder"
"Eteone flava",Predator
"Eteone flava",Scavenger
"Eteone foliosa",Predator
"Eteone foliosa",Scavenger
"Eteone longa",Predator
"Eteone longa",Scavenger
"Eudorella emarginata","Surface deposit feeder"
"Eudorella emarginata","Sub-surface deposit feeder"
"Eudorella truncatula","Surface deposit feeder"
"Eudorella truncatula","Sub-surface deposit feeder"
"Eulalia mustela",Predator
"Eulalia mustela",Scavenger
"Eulalia viridis",Predator
"Eulalia viridis",Scavenger
"Eusyllis blomstrandi",Predator
"Eusyllis blomstrandi",Scavenger
"Exogone hebes",Predator
"Exogone hebes",Scavenger
"Gastrosaccus spinifer","Passive suspension feeder"
"Gastrosaccus spinifer","Active suspension feeder"
"Gastrosaccus spinifer","Surface deposit feeder"
"Gastrosaccus spinifer","Sub-surface deposit feeder"
"Gattyana cirrhosa",Predator
"Gattyana cirrhosa",Scavenger
"Glycera alba",Predator
"Glycera alba",Scavenger
"Glycera lapidum",Predator
"Glycera lapidum",Scavenger
"Glycera rouxi",Predator
"Glycera rouxi",Scavenger
"Glycinde nordmanni",Predator
"Glycinde nordmanni",Scavenger
"Goniada maculata",Predator
"Goniada maculata",Scavenger
"Goodallia triangularis","Passive suspension feeder"
"Goodallia triangularis","Active suspension feeder"
"Harmothoe impar",Predator
"Harmothoe impar",Scavenger
"Haustorius arenarius","Passive suspension feeder"
"Haustorius arenarius","Active suspension feeder"
"Hesionura elongata",Predator
"Hesionura elongata",Scavenger
"Hiatella arctica","Passive suspension feeder"
"Hiatella arctica","Active suspension feeder"
"Hyas coarctatus",Predator
"Hyas coarctatus",Scavenger
"Iphinoe serrata","Surface deposit feeder"
"Iphinoe serrata","Sub-surface deposit feeder"
"Laevicardium crassum","Passive suspension feeder"
"Laevicardium crassum","Active suspension feeder"
"Laonice cirrata","Surface deposit feeder"
"Laonice cirrata","Sub-surface deposit feeder"
"Lepidonotus squamatus",Predator
"Lepidonotus squamatus",Scavenger
"Liocarcinus marmoreus",Predator
"Liocarcinus marmoreus",Scavenger
"Lucinoma borealis","Passive suspension feeder"
"Lucinoma borealis","Active suspension feeder"
"Lumbrineris hibernica",Predator
"Lumbrineris hibernica",Scavenger
"Lumbrineris latreilli",Predator
"Lumbrineris latreilli",Scavenger
"Mactra stultorum","Passive suspension feeder"
"Mactra stultorum","Active suspension feeder"
"Maera othonis","Surface deposit feeder"
"Maera othonis","Sub-surface deposit feeder"
"Marphysa bellii",Predator
"Marphysa bellii",Scavenger
"Modiolus barbatus","Passive suspension feeder"
"Modiolus barbatus","Active suspension feeder"
"Nephtys caeca",Predator
"Nephtys caeca",Scavenger
"Nephtys incisa","Surface deposit feeder"
"Nephtys incisa","Sub-surface deposit feeder"
"Nephtys longosetosa",Predator
"Nephtys longosetosa",Scavenger
"Nereimyra punctata","Surface deposit feeder"
"Nereimyra punctata","Sub-surface deposit feeder"
"Notomastus latericeus","Surface deposit feeder"
"Notomastus latericeus","Sub-surface deposit feeder"
"Ophelia borealis","Surface deposit feeder"
"Ophelia borealis","Sub-surface deposit feeder"
"Orbinia sertulata","Surface deposit feeder"
"Orbinia sertulata","Sub-surface deposit feeder"
"Parvicardium scabrum","Passive suspension feeder"
"Parvicardium scabrum","Active suspension feeder"
"Pectinaria (Amphictene) auricoma","Surface deposit feeder"
"Pectinaria (Amphictene) auricoma","Sub-surface deposit feeder"
"Pectinaria koreni","Surface deposit feeder"
"Pectinaria koreni","Sub-surface deposit feeder"
"Phoronis muelleri","Passive suspension feeder"
"Phoronis muelleri","Active suspension feeder"
"Photis longicaudata","Passive suspension feeder"
"Photis longicaudata","Active suspension feeder"
"Phyllodoce (Anaitides) groenlandica",Predator
"Phyllodoce (Anaitides) groenlandica",Scavenger
"Phyllodoce (Anaitides) maculata",Predator
"Phyllodoce (Anaitides) maculata",Scavenger
"Pisione remota",Predator
"Pisione remota",Scavenger
"Poecilochaetus serpens","Passive suspension feeder"
"Poecilochaetus serpens","Active suspension feeder"
"Poecilochaetus serpens","Surface deposit feeder"
"Poecilochaetus serpens","Sub-surface deposit feeder"
"Pontocrates altamarinus","Surface deposit feeder"
"Pontocrates altamarinus","Sub-surface deposit feeder"
"Protodorvillea kefersteini",Predator
"Protodorvillea kefersteini",Scavenger
"Pycnogonum littorale",Predator
"Pycnogonum littorale",Scavenger
"Scalibregma inflatum","Surface deposit feeder"
"Scalibregma inflatum","Sub-surface deposit feeder"
"Scolelepis bonnieri","Passive suspension feeder"
"Scolelepis bonnieri","Active suspension feeder"
"Scolelepis bonnieri","Surface deposit feeder"
"Scolelepis bonnieri","Sub-surface deposit feeder"
"Sphaerosyllis bulbosa",Predator
"Sphaerosyllis bulbosa",Scavenger
"Spisula elliptica","Passive suspension feeder"
"Spisula elliptica","Active suspension feeder"
"Spisula subtruncata","Passive suspension feeder"
"Spisula subtruncata","Active suspension feeder"
"Stenothoe marina",Predator
"Stenothoe marina",Scavenger
"Tellina (Moerella) pygmaeus","Surface deposit feeder"
"Tellina (Moerella) pygmaeus","Sub-surface deposit feeder"
"Tellina tenuis","Passive suspension feeder"
"Tellina tenuis","Active suspension feeder"
"Tellina tenuis","Surface deposit feeder"
"Tellina tenuis","Sub-surface deposit feeder"
"Thracia villosiuscula","Passive suspension feeder"
"Thracia villosiuscula","Active suspension feeder"
"Thracia villosiuscula","Surface deposit feeder"
"Thracia villosiuscula","Sub-surface deposit feeder"
"Timoclea ovata","Passive suspension feeder"
"Timoclea ovata","Active suspension feeder"
"Travisia forbesii","Surface deposit feeder"
"Travisia forbesii","Sub-surface deposit feeder"
"Unciola crenatipalma","Passive suspension feeder"
"Unciola crenatipalma","Active suspension feeder"
"Upogebia deltaura","Passive suspension feeder"
"Upogebia deltaura","Active suspension feeder"
"Upogebia deltaura","Surface deposit feeder"
"Upogebia deltaura","Sub-surface deposit feeder"
"Urothoe brevicornis","Surface deposit feeder"
