AphiaID,Species,Phylum,Class,Order,Family,Genus
478746,Typhlotanais aequiremis,Arthropoda,Malacostraca,Tanaidacea,Typhlotanaidae,Typhlotanais
140702,Delectopecten vitreus,Mollusca,Bivalvia,Pectinida,Pectinidae,Delectopecten
129820,Samythella neglecta,Annelida,Polychaeta,Terebellida,Ampharetidae,Samythella
103894,Pelonaia corrugata,Chordata,Ascidiacea,Stolidobranchia,Styelidae,Pelonaia
138508,NA,Mollusca,Gastropoda,Trochida,Skeneidae,Skenea
118615,Eurycope cornuta,Arthropoda,Malacostraca,Isopoda,Munnopsidae,Eurycope
103624,Eudistoma vitreum,Chordata,Ascidiacea,Aplousobranchia,Polycitoridae,Eudistoma
107166,Munida tenuimana,Arthropoda,Malacostraca,Decapoda,Munididae,Munida
103802,Molgula siphonalis,Chordata,Ascidiacea,Stolidobranchia,Molgulidae,Molgula
118741,Katianira bilobata,Arthropoda,Malacostraca,Isopoda,Katianiridae,Katianira
101364,NA,Arthropoda,Malacostraca,Amphipoda,Ampeliscidae,NA
117674,Kirchenpaueria pinnata,Cnidaria,Hydrozoa,Leptothecata,Kirchenpaueriidae,Kirchenpaueria
139474,Cylichna alba,Mollusca,Gastropoda,Cephalaspidea,Cylichnidae,Cylichna
111585,Ragionula rosacea,Bryozoa,Gymnolaemata,Cheilostomatida,Romancheinidae,Ragionula
101896,Ampelisca diadema,Arthropoda,Malacostraca,Amphipoda,Ampeliscidae,Ampelisca
130954,Potamilla neglecta,Annelida,Polychaeta,Sabellida,Sabellidae,Potamilla
141929,Timoclea ovata,Mollusca,Bivalvia,Venerida,Veneridae,Timoclea
152260,Scoletoma magnidentata,Annelida,Polychaeta,Eunicida,Lumbrineridae,Scoletoma
147154,Similipecten similis,Mollusca,Bivalvia,Pectinida,Propeamussiidae,Similipecten
110843,NA,Bryozoa,Gymnolaemata,Cheilostomatida,Bugulidae,Kinetoskias
102975,Harpinia serrata,Arthropoda,Malacostraca,Amphipoda,Phoxocephalidae,Harpinia
131128,Laonice cirrata,Annelida,Polychaeta,Spionida,Spionidae,Laonice
181343,Parvicardium pinnulatum,Mollusca,Bivalvia,Cardiida,Cardiidae,Parvicardium
2032,NA,Sipuncula,Sipunculidea,Golfingiida,Golfingiidae,NA
130265,Scoletoma tetraura,Annelida,Polychaeta,Eunicida,Lumbrineridae,Scoletoma
101764,NA,Arthropoda,Malacostraca,Amphipoda,Stenothoidae,Metopa
131523,Polycirrus arcticus,Annelida,Polychaeta,Terebellida,Terebellidae,Polycirrus
138797,Bathyarca glacialis,Mollusca,Bivalvia,Arcida,Arcidae,Bathyarca
138820,Astarte crenata,Mollusca,Bivalvia,Carditida,Astartidae,Astarte
101025,Epizoanthus couchii,Cnidaria,Anthozoa,Zoantharia,Epizoanthidae,Epizoanthus
13552,NA,Cnidaria,Hydrozoa,Leptothecata,NA,NA
139825,Haliella stenostoma,Mollusca,Gastropoda,Littorinimorpha,Eulimidae,Haliella
129844,Laetmonice filicornis,Annelida,Polychaeta,Phyllodocida,Aphroditidae,Laetmonice
129370,NA,Annelida,Polychaeta,Phyllodocida,Nephtyidae,Nephtys
102989,Phoxocephalus holbolli,Arthropoda,Malacostraca,Amphipoda,Phoxocephalidae,Phoxocephalus
953,NA,Annelida,Polychaeta,Phyllodocida,Goniadidae,NA
129626,NA,Annelida,Polychaeta,Spionida,Spionidae,Spiophanes
138239,NA,Mollusca,Gastropoda,Littorinimorpha,Naticidae,Euspira
110734,NA,Bryozoa,Gymnolaemata,Cheilostomatida,Candidae,NA
110966,NA,Bryozoa,Gymnolaemata,Cheilostomatida,Exochellidae,Escharoides
102514,Anonyx nugax,Arthropoda,Malacostraca,Amphipoda,Uristidae,Anonyx
