name	AphiaID	Match type	ScientificName	AphiaID_accepted	ScientificName_accepted	Kingdom	Phylum	Class	Order	Family	Genus	Subgenus	Species	Subspecies
Halidrys siliquosa	145540	exact	Halidrys siliquosa	145540	Halidrys siliquosa	Chromista	Ochrophyta	Phaeophyceae	Fucales	Sargassaceae	Halidrys		siliquosa	
Harmothoe spp.	129491	exact	Harmothoe	129491	Harmothoe	Animalia	Annelida	Polychaeta	Phyllodocida	Polynoidae	Harmothoe			
Hediste diversicolor	152302	exact	Hediste diversicolor	152302	Hediste diversicolor	Animalia	Annelida	Polychaeta	Phyllodocida	Nereididae	Hediste		diversicolor	
Helcion pellucidum	162669	exact	Helcion pellucidum	147459	Patella pellucida	Animalia	Mollusca	Gastropoda		Patellidae	Helcion		pellucidum	
Henricia oculata	123970	exact	Henricia oculata	123970	Henricia oculata	Animalia	Echinodermata	Asteroidea	Spinulosida	Echinasteridae	Henricia		oculata	
Hesionura spp.	129448	exact	Hesionura	129448	Hesionura	Animalia	Annelida	Polychaeta	Phyllodocida	Phyllodocidae	Hesionura			
Himanthalia elongata	145551	exact	Himanthalia elongata	145551	Himanthalia elongata	Chromista	Ochrophyta	Phaeophyceae	Fucales	Himanthaliaceae	Himanthalia		elongata	
Hippocampus guttulatus	154776	exact	Hippocampus guttulatus	154776	Hippocampus guttulatus	Animalia	Chordata	Actinopterygii	Syngnathiformes	Syngnathidae	Hippocampus		guttulatus	
Hippocampus hippocampus	127380	exact	Hippocampus hippocampus	127380	Hippocampus hippocampus	Animalia	Chordata	Actinopterygii	Syngnathiformes	Syngnathidae	Hippocampus		hippocampus	
Homarus gammarus	107253	exact	Homarus gammarus	107253	Homarus gammarus	Animalia	Arthropoda	Malacostraca	Decapoda	Nephropidae	Homarus		gammarus	
Hyale prevostii	490616	match_deleted	Apohyale prevostii	490616	Apohyale prevostii	Animalia	Arthropoda	Malacostraca	Amphipoda	Hyalidae	Apohyale		prevostii	
Hydrallmania falcata	117890	exact	Hydrallmania falcata	117890	Hydrallmania falcata	Animalia	Cnidaria	Hydrozoa	Leptothecata	Sertulariidae	Hydrallmania		falcata	
Hydrobia ulvae	140126	exact	Hydrobia ulvae	151628	Peringia ulvae	Animalia	Mollusca	Gastropoda	Littorinimorpha	Hydrobiidae	Hydrobia		ulvae	
Idotea pelagica	119050	exact	Idotea pelagica	119050	Idotea pelagica	Animalia	Arthropoda	Malacostraca	Isopoda	Idoteidae	Idotea		pelagica	
Inachus dorsettensis	107327	exact	Inachus dorsettensis	107327	Inachus dorsettensis	Animalia	Arthropoda	Malacostraca	Decapoda	Inachidae	Inachus		dorsettensis	
Jassa falcata	102431	exact	Jassa falcata	102431	Jassa falcata	Animalia	Arthropoda	Malacostraca	Amphipoda	Ischyroceridae	Jassa		falcata	
Labrus bergylta	126965	exact	Labrus bergylta	126965	Labrus bergylta	Animalia	Chordata	Actinopterygii	Perciformes	Labridae	Labrus		bergylta	
Labrus mixtus	151501	exact	Labrus mixtus	151501	Labrus mixtus	Animalia	Chordata	Actinopterygii	Perciformes	Labridae	Labrus		mixtus	
Lacuna vincta	140170	exact	Lacuna vincta	140170	Lacuna vincta	Animalia	Mollusca	Gastropoda	Littorinimorpha	Littorinidae	Lacuna		vincta	
Laevicardium spp.	137738	exact	Laevicardium	137738	Laevicardium	Animalia	Mollusca	Bivalvia	Cardiida	Cardiidae	Laevicardium			
Lagis spp.	152365	exact	Lagis	152365	Lagis	Animalia	Annelida	Polychaeta	Terebellida	Pectinariidae	Lagis			
Laminaria digitata	145724	exact	Laminaria digitata	145724	Laminaria digitata	Chromista	Ochrophyta	Phaeophyceae	Laminariales	Laminariaceae	Laminaria		digitata	
Laminaria hyperborea	145725	exact	Laminaria hyperborea	145725	Laminaria hyperborea	Chromista	Ochrophyta	Phaeophyceae	Laminariales	Laminariaceae	Laminaria		hyperborea	
Lanice conchilega	131495	exact	Lanice conchilega	131495	Lanice conchilega	Animalia	Annelida	Polychaeta	Terebellida	Terebellidae	Lanice		conchilega	
Lepidonotus spp.	129496	exact	Lepidonotus	129496	Lepidonotus	Animalia	Annelida	Polychaeta	Phyllodocida	Polynoidae	Lepidonotus			
Leptasterias muelleri	379749	exact	Leptasterias muelleri	125158	Leptasterias (Leptasterias) muelleri	Animalia	Echinodermata	Asteroidea	Forcipulatida	Asteriidae	Leptasterias		muelleri	
Leptochiton spp.	138117	exact	Leptochiton	138117	Leptochiton	Animalia	Mollusca	Polyplacophora	Lepidopleurida	Leptochitonidae	Leptochiton			
Leptopsammia pruvoti	135193	exact	Leptopsammia pruvoti	135193	Leptopsammia pruvoti	Animalia	Cnidaria	Anthozoa	Scleractinia	Dendrophylliidae	Leptopsammia		pruvoti	
Liocarcinus depurator	107387	exact	Liocarcinus depurator	107387	Liocarcinus depurator	Animalia	Arthropoda	Malacostraca	Decapoda	Polybiidae	Liocarcinus		depurator	
Liocarcinus holsatus	107388	exact	Liocarcinus holsatus	107388	Liocarcinus holsatus	Animalia	Arthropoda	Malacostraca	Decapoda	Polybiidae	Liocarcinus		holsatus	
Lithophyllum incrustans	145152	exact	Lithophyllum incrustans	145152	Lithophyllum incrustans	Plantae	Rhodophyta	Florideophyceae	Corallinales	Lithophyllaceae	Lithophyllum		incrustans	
Lithothamnion corallioides	145165	exact	Lithothamnion corallioides	145165	Lithothamnion corallioides	Plantae	Rhodophyta	Florideophyceae	Corallinales	Lithothamniaceae	Lithothamnion		corallioides	
Lithothamnion glaciale	145170	exact	Lithothamnion glaciale	145170	Lithothamnion glaciale	Plantae	Rhodophyta	Florideophyceae	Corallinales	Lithothamniaceae	Lithothamnion		glaciale	
